customer_id,segment,churn_risk,recommendation,priority,reason,score,confidence,generated_at
CUST_86,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599706
CUST_87,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599731
CUST_88,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599756
CUST_89,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.599781
CUST_90,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599806
CUST_91,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599831
CUST_92,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.599857
CUST_93,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599882
CUST_94,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.599907
CUST_95,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.599933
CUST_96,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599958
CUST_97,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599983
CUST_98,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600008
CUST_99,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600033
CUST_100,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600058
CUST_101,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600083
CUST_102,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.600108
CUST_103,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600136
CUST_104,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600161
CUST_105,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600186
CUST_106,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600212
CUST_107,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600237
CUST_108,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.600262
CUST_109,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600287
CUST_110,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600313
CUST_111,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600338
CUST_112,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.600364
CUST_113,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600389
CUST_114,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600414
CUST_115,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600439
CUST_116,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600464
CUST_117,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600489
CUST_118,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600516
CUST_119,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.600542
CUST_120,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600567
CUST_121,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600592
CUST_122,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600617
CUST_123,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600642
CUST_124,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600668
CUST_125,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600693
CUST_126,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600718
CUST_127,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600743
CUST_128,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600768
CUST_129,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.600793
CUST_130,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600818
CUST_131,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600843
CUST_132,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600868
CUST_133,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.600894
CUST_134,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600919
CUST_135,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600944
CUST_136,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.600970
CUST_137,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.600995
CUST_138,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601021
CUST_139,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.601047
CUST_140,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601072
CUST_141,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601097
CUST_142,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.601122
CUST_143,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601147
CUST_144,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601173
CUST_145,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601198
CUST_146,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.601223
CUST_147,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601248
CUST_148,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601273
CUST_149,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601298
CUST_150,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.601323
CUST_151,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601349
CUST_152,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601375
CUST_153,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601400
CUST_154,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601426
CUST_155,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601451
CUST_156,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601476
CUST_157,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601501
CUST_158,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601526
CUST_159,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601551
CUST_160,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601576
CUST_161,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601601
CUST_162,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601626
CUST_163,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.601651
CUST_164,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601676
CUST_165,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.601702
CUST_166,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601727
CUST_167,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601752
CUST_168,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601777
CUST_169,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.601803
CUST_170,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601828
CUST_171,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.601856
CUST_172,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601881
CUST_173,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.601906
CUST_174,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601931
CUST_175,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601955
CUST_176,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.601979
CUST_177,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.602003
CUST_178,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602027
CUST_179,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.602052
CUST_180,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602076
CUST_181,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602104
CUST_182,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602128
CUST_183,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602153
CUST_184,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602177
CUST_185,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602201
CUST_186,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.602225
CUST_187,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.602250
CUST_188,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602274
CUST_189,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602298
CUST_190,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602322
CUST_191,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602346
CUST_192,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.602371
CUST_193,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602395
CUST_194,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602419
CUST_195,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602443
CUST_196,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602468
CUST_197,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602492
CUST_198,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602516
CUST_199,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602541
CUST_200,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602565
CUST_201,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602590
CUST_202,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602615
CUST_203,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602640
CUST_204,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602664
CUST_205,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602688
CUST_206,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602713
CUST_207,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.602737
CUST_208,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602761
CUST_209,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602785
CUST_210,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602810
CUST_211,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602834
CUST_212,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.602858
CUST_213,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602883
CUST_214,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.602907
CUST_215,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602931
CUST_216,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.602955
CUST_217,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.602982
CUST_218,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603006
CUST_219,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.603030
CUST_220,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603054
CUST_221,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603078
CUST_222,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603103
CUST_223,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603127
CUST_224,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603151
CUST_225,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603176
CUST_226,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603200
CUST_227,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603225
CUST_228,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603249
CUST_229,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603273
CUST_230,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603297
CUST_231,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603322
CUST_232,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.603346
CUST_233,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603370
CUST_234,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.603394
CUST_235,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603418
CUST_236,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603443
CUST_237,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603467
CUST_238,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603491
CUST_239,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603515
CUST_240,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.603539
CUST_241,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603564
CUST_242,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603588
CUST_243,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603612
CUST_244,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.603637
CUST_245,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.603661
CUST_246,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.603685
